timestamp,symbol,action,price,quantity,total_amount,reason
2026-04-13 02:32:40,신성이엔지(011930),SELL,3805,77,292985,[보수] 타임 컷 (보유 3일 경과)
2026-04-13 02:32:40,빛과전자(069540),SELL,5120,58,296960,[보수] 타임 컷 (보유 3일 경과)
2026-04-13 02:32:40,퍼스텍(010820),SELL,11480,26,298480,[보수] 타임 컷 (보유 3일 경과)
2026-04-13 02:32:40,캡스톤파트너스(452300),SELL,4955,60,297300,[보수] 타임 컷 (보유 3일 경과)
2026-04-13 02:32:40,머큐리(100590),SELL,9880,30,296400,[보수] 타임 컷 (보유 3일 경과)
2026-04-13 02:32:40,다날(064260),SELL,8060,36,290160,[보수] 타임 컷 (보유 3일 경과)
2026-04-13 02:32:40,조일알미늄(018470),BUY,1857,161,298977,"노이즈, 답답함"
2026-04-13 02:32:40,흥아해운(003280),BUY,3420,87,297540,상승기대감
2026-04-13 02:32:40,대한해운(005880),BUY,2920,102,297840,"급락우려, 매도심리"
2026-04-13 02:32:40,신성이엔지(011930),BUY,3805,78,296790,신재생기대
2026-04-13 02:32:40,남선알미늄(008350),BUY,2785,107,297995,"알루미늄테마, 노이즈"
2026-04-13 02:32:40,대우건설(047040),BUY,23550,12,282600,주가상승기대
2026-04-13 02:32:40,퍼스텍(010820),BUY,11480,26,298480,"방산호재, 노이즈"
2026-04-13 02:32:40,삼성전자(005930),BUY,200500,1,200500,"노조악재, 매도심리"
2026-04-13 02:32:40,티엠씨(217590),BUY,31450,9,283050,혼조세
2026-04-13 02:32:40,광전자(017900),BUY,13680,21,287280,"방어주테마, 노이즈"
2026-04-13 02:52:05,에이스테크(088800),SELL,5500,54,297000,[보수] 타임 컷 (보유 3일 경과)
2026-04-13 02:52:05,대한해운(005880),SELL,2905,100,290500,[보수] 하드 스탑 (-3% 도달: -3.2%)
2026-04-13 02:52:05,대한광통신(010170),SELL,19940,16,319040,[보수] 타임 컷 (보유 3일 경과)
2026-04-13 02:52:05,쏠리드(050890),SELL,17020,16,272320,[보수] 하드 스탑 (-3% 도달: -4.0%)
2026-04-13 02:52:05,신성이엔지(011930),SELL,3850,77,296450,[보수] 타임 컷 (보유 3일 경과)
