timestamp,event,model,prompt_tokens,output_tokens,total_tokens,req_stocks,resp_stocks,req_posts,req_chars,body_ok,body_fail,cache_hit,cache_miss,posts_dropped,noise_only_stocks
2026-07-29 13:03:32,run_summary,,,,,,,,,0,105,,,,
2026-07-29 13:03:35,cache_summary,,,,,,,,,,,5,16,30,0
2026-07-29 13:03:39,batch_call,gemini-2.5-flash-lite,3997,942,4939,10,10,281,6243,,,,,,
2026-07-29 13:03:41,batch_call,gemini-2.5-flash-lite,2582,518,3100,6,6,169,4211,,,,,,
2026-07-29 13:07:13,batch_call,gemini-2.5-flash,447,298,2705,,,,730,,,,,,
2026-07-29 13:07:21,batch_call,gemini-2.5-flash,417,281,1863,,,,676,,,,,,
2026-07-29 13:13:24,run_summary,,,,,,,,,0,115,,,,
2026-07-29 13:13:26,cache_summary,,,,,,,,,,,5,18,28,0
2026-07-29 13:13:30,batch_call,gemini-2.5-flash-lite,4043,885,4928,10,10,285,6360,,,,,,
2026-07-29 13:13:33,batch_call,gemini-2.5-flash-lite,3350,755,4105,8,8,227,5298,,,,,,
2026-07-29 13:23:32,run_summary,,,,,,,,,0,115,,,,
2026-07-29 13:23:34,cache_summary,,,,,,,,,,,6,17,25,0
2026-07-29 13:23:38,batch_call,gemini-2.5-flash-lite,4065,1018,5083,10,10,283,6407,,,,,,
2026-07-29 13:23:41,batch_call,gemini-2.5-flash-lite,3005,663,3668,7,7,202,4832,,,,,,
2026-07-29 13:33:31,run_summary,,,,,,,,,0,115,,,,
2026-07-29 13:33:33,cache_summary,,,,,,,,,,,8,15,21,0
2026-07-29 13:33:38,batch_call,gemini-2.5-flash-lite,3932,952,4884,10,10,284,6222,,,,,,
2026-07-29 13:33:40,batch_call,gemini-2.5-flash-lite,2209,420,2629,5,5,145,3689,,,,,,
2026-07-29 13:43:32,run_summary,,,,,,,,,0,115,,,,
2026-07-29 13:43:35,cache_summary,,,,,,,,,,,9,14,19,0
2026-07-29 13:43:38,batch_call,gemini-2.5-flash-lite,3997,872,4869,10,10,285,6315,,,,,,
2026-07-29 13:43:40,batch_call,gemini-2.5-flash-lite,1880,357,2237,4,4,116,3201,,,,,,
2026-07-29 13:53:59,run_summary,,,,,,,,,0,125,,,,
2026-07-29 13:54:01,cache_summary,,,,,,,,,,,9,16,30,0
2026-07-29 13:54:05,batch_call,gemini-2.5-flash-lite,4204,921,5125,10,10,285,6661,,,,,,
2026-07-29 13:54:07,batch_call,gemini-2.5-flash-lite,2470,605,3075,6,6,165,4026,,,,,,
2026-07-29 14:03:43,run_summary,,,,,,,,,0,75,,,,
2026-07-29 14:03:45,cache_summary,,,,,,,,,,,5,10,9,0
2026-07-29 14:03:50,batch_call,gemini-2.5-flash-lite,4143,995,5138,10,10,291,6569,,,,,,
2026-07-29 14:04:11,batch_call,gemini-2.5-flash-lite,235,70,305,,,,505,,,,,,
2026-07-29 14:08:09,batch_call,gemini-2.5-flash,475,257,1468,,,,741,,,,,,
2026-07-29 14:08:21,batch_call,gemini-2.5-flash,416,255,2675,,,,676,,,,,,
2026-07-29 14:13:58,run_summary,,,,,,,,,0,85,,,,
2026-07-29 14:14:01,cache_summary,,,,,,,,,,,7,10,12,0
2026-07-29 14:14:05,batch_call,gemini-2.5-flash-lite,4230,852,5082,10,10,288,6692,,,,,,
2026-07-29 14:23:54,run_summary,,,,,,,,,0,85,,,,
2026-07-29 14:23:56,cache_summary,,,,,,,,,,,5,12,19,0
2026-07-29 14:24:00,batch_call,gemini-2.5-flash-lite,4102,891,4993,10,10,283,6467,,,,,,
2026-07-29 14:24:01,batch_call,gemini-2.5-flash-lite,1223,171,1394,2,2,58,2265,,,,,,
2026-07-29 14:33:43,run_summary,,,,,,,,,0,85,,,,
2026-07-29 14:33:46,cache_summary,,,,,,,,,,,7,10,18,0
2026-07-29 14:33:49,batch_call,gemini-2.5-flash-lite,4145,811,4956,10,10,282,6567,,,,,,
2026-07-29 14:43:32,run_summary,,,,,,,,,0,90,,,,
2026-07-29 14:43:35,cache_summary,,,,,,,,,,,8,10,14,0
2026-07-29 14:43:38,batch_call,gemini-2.5-flash-lite,4167,949,5116,10,10,286,6534,,,,,,
2026-07-29 14:53:50,run_summary,,,,,,,,,0,90,,,,
2026-07-29 14:53:52,cache_summary,,,,,,,,,,,5,13,20,0
2026-07-29 14:53:56,batch_call,gemini-2.5-flash-lite,4162,994,5156,10,10,283,6558,,,,,,
2026-07-29 14:53:58,batch_call,gemini-2.5-flash-lite,1593,274,1867,3,3,87,2788,,,,,,
2026-07-29 15:03:06,run_summary,,,,,,,,,0,90,,,,
2026-07-29 15:03:08,cache_summary,,,,,,,,,,,9,9,17,0
2026-07-29 15:03:12,batch_call,gemini-2.5-flash-lite,3841,869,4710,9,9,253,6033,,,,,,
2026-07-29 15:03:29,batch_call,gemini-2.5-flash-lite,234,76,310,,,,503,,,,,,
2026-07-29 15:06:32,batch_call,gemini-2.5-flash,438,280,1794,,,,672,,,,,,
2026-07-29 15:06:40,batch_call,gemini-2.5-flash,431,201,2098,,,,678,,,,,,
2026-07-29 15:13:34,run_summary,,,,,,,,,0,90,,,,
2026-07-29 15:13:36,cache_summary,,,,,,,,,,,10,8,11,0
