cycle_id,ts,sim,code,name,decision,reason,price,change_rate,amount,adx,tick_power,posts,unique_posters,posts_per_poster,avg_posts,buzz_ratio,total_likes,likes_per_post,sov,z_posters,z_sov,z_likes,ignition,hype_score,fact_score,z_hype,d_sov,d_hype,accel,accel_d1,hist_missing,hist_days_ago,ignition4
,2026-09-18 16:12:52,sim11_watchlist,014680,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,015760,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,016360,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,016380,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,017670,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,017800,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,017900,,skip,far_below_52w_high,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,017960,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,018260,,skip,far_below_52w_high,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,018880,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,019170,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,020000,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,020120,,skip,no_vcp,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-09-18 16:12:52,sim11_watchlist,020150,,skip,not_stacked,,,,,,,,,,,,,,,,,,,,,,,,,,,
